iter	Passed	Remaining
0	3	310
1	5	278
2	8	286
3	12	293
4	15	292
5	21	331
6	24	322
7	28	322
8	33	334
9	36	325
10	39	317
11	42	309
12	45	305
13	49	301
14	52	297
15	56	297
16	62	304
17	67	309
18	71	305
19	75	303
20	80	301
21	83	295
22	86	289
23	89	282
24	93	279
25	97	276
26	100	271
27	103	265
28	106	260
29	110	257
30	114	254
31	117	249
32	120	244
33	124	241
34	130	242
35	135	240
36	138	235
37	151	246
38	153	240
39	157	236
40	160	230
41	163	226
42	167	221
43	170	217
44	175	213
45	177	208
46	181	204
47	184	199
48	189	196
49	193	193
50	198	191
51	202	187
52	207	183
53	211	179
54	214	175
55	217	170
56	221	166
57	225	163
58	229	159
59	236	157
60	239	153
61	243	149
62	246	144
63	249	140
64	252	136
65	256	131
66	259	127
67	262	123
68	267	120
69	270	116
70	273	111
71	276	107
72	279	103
73	283	99
74	287	95
75	290	91
76	293	87
77	298	84
78	303	80
79	306	76
80	310	72
81	312	68
82	316	64
83	320	60
84	323	57
85	326	53
86	329	49
87	334	45
88	338	41
89	341	37
90	344	34
91	347	30
92	352	26
93	355	22
94	360	18
95	365	15
96	368	11
97	371	7
98	374	3
99	378	0
