iter	Passed	Remaining
0	6	617
1	10	528
2	16	534
3	22	543
4	27	525
5	33	519
6	38	507
7	43	496
8	47	481
9	52	474
10	59	484
11	63	468
12	67	453
13	71	441
14	77	437
15	83	439
16	88	430
17	93	425
18	97	416
19	102	408
20	106	399
21	110	393
22	116	390
23	121	385
24	127	382
25	133	379
26	139	377
27	144	372
28	151	370
29	155	363
30	160	358
31	165	351
32	169	344
33	175	341
34	182	338
35	187	333
36	192	328
37	197	322
38	206	322
39	210	316
40	217	313
41	225	310
42	229	303
43	232	296
44	239	292
45	243	286
46	250	282
47	256	277
48	260	270
49	264	264
50	271	261
51	275	254
52	282	250
53	287	244
54	292	239
55	296	232
56	301	227
57	305	221
58	312	217
59	320	213
60	324	207
61	328	201
62	334	196
63	339	190
64	344	185
65	351	180
66	354	174
67	358	168
68	362	162
69	368	157
70	373	152
71	380	147
72	386	142
73	390	137
74	394	131
75	400	126
76	405	120
77	409	115
78	417	110
79	422	105
80	426	100
81	431	94
82	438	89
83	442	84
84	449	79
85	453	73
86	458	68
87	463	63
88	467	57
89	471	52
90	478	47
91	484	42
92	489	36
93	493	31
94	498	26
95	503	20
96	507	15
97	518	10
98	522	5
99	527	0
